county_fips,state_fips,in_migration,moe
'01055','01',0,22
'01081','01',0,22
'01089','01',0,22
'01097','01',9,15
'02090','02',12,20
'02100','02',0,22
'02110','02',0,22
'04003','04',0,22
'04005','04',0,22
'04007','04',14,20
'04013','04',294,117
'04015','04',0,22
'04017','04',7,10
'04019','04',0,22
'04021','04',22,29
'04025','04',13,19
'04027','04',3,5
'05007','05',0,22
'05033','05',7,11
'05069','05',20,34
'05085','05',0,22
'05103','05',18,28
'05119','05',5,11
'05125','05',16,25
'05131','05',8,13
'05143','05',29,33
'05145','05',5,12
'06001','06',11,16
'06013','06',5,11
'06017','06',0,22
'06019','06',0,22
'06023','06',0,22
'06029','06',0,22
'06037','06',245,123
'06039','06',0,22
'06041','06',12,25
'06053','06',6,10
'06055','06',4,7
'06059','06',216,188
'06061','06',0,22
'06065','06',33,49
'06067','06',100,56
'06071','06',111,115
'06073','06',80,75
'06075','06',64,66
'06077','06',168,204
'06079','06',167,168
'06081','06',24,28
'06085','06',34,31
'06095','06',0,22
'06097','06',35,46
'06107','06',0,22
'06111','06',40,39
'08001','08',8,13
'08005','08',116,88
'08013','08',40,31
'08014','08',9,13
'08021','08',15,23
'08031','08',54,53
'08035','08',85,52
'08041','08',70,51
'08059','08',26,31
'08069','08',55,48
'08077','08',3,7
'08085','08',4,6
'08087','08',0,22
'08093','08',8,16
'08099','08',0,22
'08101','08',4,8
'08107','08',19,31
'08123','08',13,16
'09005','09',8,14
'09009','09',0,22
'09011','09',166,257
'10001','10',0,22
'10005','10',0,22
'11001','11',0,22
'12001','12',7,12
'12011','12',10,18
'12031','12',10,17
'12033','12',9,14
'12057','12',95,101
'12061','12',0,22
'12071','12',0,22
'12073','12',11,17
'12085','12',8,12
'12086','12',48,51
'12091','12',25,26
'12095','12',26,29
'12097','12',0,22
'12099','12',13,16
'12103','12',0,22
'12109','12',32,51
'12111','12',18,18
'12113','12',24,38
'12115','12',0,22
'12117','12',27,41
'12127','12',14,22
'13059','13',7,11
'13063','13',15,23
'13067','13',0,22
'13089','13',38,58
'13121','13',135,206
'13135','13',7,11
'13153','13',17,28
'13245','13',50,52
'13269','13',0,22
'13285','13',9,15
'15003','15',67,48
'16001','16',0,22
'16005','16',24,25
'16039','16',9,14
'16045','16',6,11
'16055','16',7,8
'16069','16',5,11
'17031','17',356,217
'17037','17',156,148
'17041','17',11,18
'17043','17',6,12
'17073','17',12,24
'17089','17',5,11
'17091','17',4,7
'17093','17',5,11
'17095','17',8,12
'17097','17',44,34
'17099','17',38,45
'17109','17',0,22
'17115','17',14,22
'17119','17',0,22
'17121','17',32,52
'17133','17',0,22
'17143','17',11,18
'17167','17',20,24
'17195','17',14,23
'17197','17',71,59
'17203','17',5,8
'18003','18',0,22
'18035','18',0,22
'18053','18',8,14
'18057','18',67,80
'18067','18',11,21
'18077','18',9,19
'18089','18',0,22
'18095','18',4,8
'18097','18',0,22
'18105','18',3,14
'18127','18',5,11
'18133','18',7,11
'18167','18',0,22
'19003','19',39,36
'19007','19',0,22
'19009','19',11,13
'19013','19',0,22
'19015','19',7,14
'19017','19',0,22
'19021','19',37,35
'19023','19',11,25
'19025','19',0,22
'19027','19',10,16
'19029','19',29,23
'19033','19',0,22
'19035','19',21,21
'19041','19',0,22
'19047','19',4,7
'19049','19',34,55
'19053','19',0,22
'19059','19',0,22
'19061','19',4,9
'19071','19',32,41
'19073','19',0,22
'19077','19',0,22
'19083','19',0,22
'19085','19',110,61
'19087','19',0,22
'19093','19',0,22
'19095','19',0,22
'19099','19',16,27
'19101','19',8,12
'19103','19',163,76
'19113','19',15,24
'19117','19',2,4
'19119','19',5,7
'19121','19',0,22
'19125','19',0,22
'19129','19',126,85
'19131','19',0,22
'19133','19',15,16
'19137','19',15,18
'19141','19',7,12
'19143','19',0,22
'19145','19',34,39
'19149','19',14,15
'19151','19',16,31
'19153','19',215,156
'19155','19',1275,271
'19161','19',0,22
'19163','19',39,41
'19165','19',23,30
'19167','19',0,22
'19169','19',141,194
'19171','19',0,22
'19175','19',5,10
'19179','19',0,22
'19187','19',0,22
'19189','19',0,22
'19191','19',39,54
'19193','19',319,139
'20005','20',0,22
'20011','20',0,22
'20015','20',0,22
'20035','20',10,16
'20041','20',0,22
'20043','20',0,22
'20045','20',0,22
'20051','20',0,22
'20059','20',6,11
'20061','20',11,16
'20079','20',0,22
'20085','20',0,22
'20091','20',127,75
'20099','20',0,22
'20103','20',9,14
'20113','20',21,34
'20117','20',90,134
'20121','20',8,12
'20131','20',5,8
'20137','20',7,11
'20147','20',0,22
'20149','20',18,26
'20161','20',49,44
'20169','20',46,70
'20173','20',40,46
'20177','20',30,34
'20185','20',0,22
'20187','20',0,22
'20209','20',25,41
'21067','21',0,22
'21111','21',19,23
'21141','21',18,29
'21185','21',41,64
'21199','21',0,22
'21227','21',10,14
'22015','22',1,9
'22017','22',0,22
'22023','22',0,22
'22033','22',0,22
'22051','22',0,22
'22057','22',40,57
'22071','22',0,22
'22119','22',0,22
'23005','23',5,7
'23031','23',37,70
'24031','24',57,60
'24033','24',53,72
'24510','24',0,22
'25003','25',0,22
'25005','25',0,22
'25009','25',13,20
'25011','25',7,11
'25017','25',7,11
'25021','25',0,22
'25025','25',0,22
'25027','25',9,13
'26007','26',0,22
'26025','26',34,55
'26029','26',0,22
'26057','26',0,22
'26059','26',0,22
'26077','26',40,63
'26081','26',3,6
'26089','26',0,22
'26091','26',4,6
'26101','26',0,22
'26125','26',15,23
'26137','26',15,24
'26155','26',0,22
'26161','26',6,9
'26163','26',15,23
'27003','27',80,72
'27007','27',37,57
'27013','27',0,22
'27019','27',9,14
'27021','27',69,96
'27027','27',6,9
'27033','27',0,22
'27035','27',10,16
'27037','27',22,32
'27041','27',0,22
'27047','27',0,22
'27049','27',0,22
'27053','27',137,70
'27057','27',0,22
'27061','27',0,22
'27077','27',0,22
'27081','27',0,22
'27083','27',0,22
'27093','27',0,22
'27103','27',5,9
'27105','27',0,22
'27109','27',13,20
'27111','27',0,22
'27115','27',16,19
'27119','27',14,26
'27123','27',56,37
'27131','27',0,22
'27137','27',0,22
'27143','27',0,22
'27145','27',26,37
'27147','27',20,32
'27157','27',0,22
'27161','27',31,42
'27163','27',66,56
'27165','27',0,22
'27169','27',15,23
'28033','28',17,28
'28083','28',8,18
'28085','28',0,22
'28087','28',0,22
'28103','28',0,22
'28163','28',7,14
'29001','29',8,9
'29005','29',0,22
'29007','29',12,23
'29013','29',0,22
'29015','29',0,22
'29019','29',3,7
'29021','29',0,22
'29025','29',0,22
'29027','29',0,22
'29029','29',25,20
'29033','29',4,7
'29041','29',0,22
'29043','29',33,52
'29047','29',60,69
'29051','29',0,22
'29057','29',0,22
'29073','29',0,22
'29077','29',48,56
'29087','29',4,7
'29095','29',165,107
'29097','29',13,20
'29101','29',0,22
'29147','29',34,38
'29159','29',15,24
'29161','29',22,20
'29165','29',22,28
'29169','29',6,10
'29183','29',30,37
'29189','29',62,75
'29201','29',0,22
'29209','29',18,28
'29219','29',0,22
'29510','29',22,31
'30013','30',0,22
'30017','30',30,47
'30029','30',0,22
'30031','30',34,53
'30065','30',0,22
'30081','30',0,22
'30111','30',0,22
'31001','31',384,167
'31003','31',0,22
'31007','31',8,13
'31013','31',8,17
'31019','31',166,84
'31021','31',35,32
'31023','31',102,148
'31025','31',657,285
'31027','31',4,8
'31031','31',3,4
'31033','31',9,13
'31035','31',11,13
'31037','31',1,4
'31039','31',68,56
'31041','31',0,22
'31043','31',131,92
'31045','31',23,29
'31047','31',61,56
'31051','31',23,20
'31053','31',530,172
'31057','31',0,22
'31059','31',46,44
'31061','31',0,22
'31065','31',0,22
'31067','31',49,36
'31069','31',0,22
'31077','31',5,7
'31079','31',235,111
'31081','31',0,22
'31083','31',0,22
'31087','31',0,22
'31089','31',18,25
'31093','31',20,25
'31095','31',9,15
'31097','31',53,33
'31101','31',6,10
'31107','31',3,5
'31109','31',2590,430
'31111','31',199,137
'31113','31',0,22
'31119','31',67,70
'31121','31',0,22
'31123','31',0,22
'31127','31',34,39
'31129','31',5,10
'31131','31',39,36
