county_fips,state_fips,net_migration,moe
'01055','01',-11,17
'01081','01',-6,7
'01089','01',-11,19
'01097','01',9,15
'02090','02',12,20
'02100','02',-60,83
'02110','02',-4,6
'04003','04',-110,161
'04005','04',-8,12
'04007','04',14,20
'04013','04',-368,302
'04015','04',-35,49
'04017','04',7,10
'04019','04',-56,48
'04021','04',21,28
'04025','04',-6,37
'04027','04',3,5
'05007','05',-32,38
'05033','05',7,11
'05069','05',20,34
'05085','05',-16,25
'05103','05',18,28
'05119','05',-144,222
'05125','05',16,25
'05131','05',-71,121
'05143','05',29,33
'05145','05',5,12
'06001','06',-25,59
'06013','06',-53,63
'06017','06',-11,19
'06019','06',-79,86
'06023','06',-135,190
'06029','06',-69,109
'06037','06',185,126
'06039','06',-10,14
'06041','06',12,25
'06053','06',-299,349
'06055','06',4,7
'06059','06',193,191
'06061','06',-8,13
'06065','06',-113,276
'06067','06',100,56
'06071','06',90,119
'06073','06',44,89
'06075','06',15,80
'06077','06',168,204
'06079','06',167,168
'06081','06',-33,75
'06085','06',8,38
'06095','06',-66,107
'06097','06',35,46
'06107','06',-42,61
'06111','06',-38,91
'08001','08',-20,38
'08005','08',16,116
'08013','08',5,45
'08014','08',-41,56
'08021','08',15,23
'08031','08',-128,107
'08035','08',85,52
'08041','08',-123,164
'08059','08',-38,69
'08069','08',-23,81
'08077','08',3,7
'08085','08',4,6
'08087','08',-36,51
'08093','08',8,16
'08099','08',-9,9
'08101','08',-10,23
'08107','08',19,31
'08123','08',-4,23
'09005','09',8,14
'09009','09',-8,13
'09011','09',166,257
'10001','10',-15,24
'10005','10',-34,53
'11001','11',-126,77
'12001','12',7,12
'12011','12',-36,45
'12031','12',10,17
'12033','12',-52,55
'12057','12',58,101
'12061','12',-18,28
'12071','12',-20,31
'12073','12',11,17
'12085','12',8,12
'12086','12',15,73
'12091','12',-132,188
'12095','12',13,35
'12097','12',-69,109
'12099','12',-67,99
'12103','12',-17,27
'12109','12',32,51
'12111','12',18,18
'12113','12',24,38
'12115','12',-189,263
'12117','12',27,41
'12127','12',14,22
'13059','13',7,11
'13063','13',8,26
'13067','13',-238,218
'13089','13',30,59
'13121','13',90,216
'13135','13',-103,117
'13153','13',17,28
'13245','13',50,52
'13269','13',-4,8
'13285','13',9,15
