county_fips,state_fips,out_migration,moe
'01055','01',11,17
'01081','01',6,7
'01089','01',11,19
'01097','01',0,27
'02090','02',0,20
'02100','02',60,83
'02110','02',4,6
'04003','04',110,161
'04005','04',8,12
'04007','04',0,28
'04013','04',662,284
'04015','04',35,49
'04017','04',0,28
'04019','04',56,48
'04021','04',1,2
'04025','04',19,31
'04027','04',0,28
'05007','05',32,38
'05033','05',0,27
'05069','05',0,27
'05085','05',16,25
'05103','05',0,21
'05119','05',149,221
'05125','05',0,27
'05131','05',79,120
'05143','05',0,27
'05145','05',0,27
'06001','06',36,58
'06013','06',58,62
'06017','06',11,19
'06019','06',79,86
'06023','06',135,190
'06029','06',69,109
'06037','06',60,43
'06039','06',10,14
'06041','06',0,28
'06053','06',305,348
'06055','06',0,28
'06059','06',23,26
'06061','06',8,13
'06065','06',146,271
'06067','06',0,28
'06071','06',21,28
'06073','06',36,33
'06075','06',49,38
'06077','06',0,28
'06079','06',0,28
'06081','06',57,68
'06085','06',26,27
'06095','06',66,107
'06097','06',0,28
'06107','06',42,61
'06111','06',78,79
'08001','08',28,36
'08005','08',100,77
'08013','08',35,30
'08014','08',50,55
'08021','08',0,16
'08031','08',182,94
'08035','08',0,27
'08041','08',193,157
'08059','08',64,61
'08069','08',78,66
'08077','08',0,27
'08085','08',0,24
'08087','08',36,51
'08093','08',0,18
'08099','08',9,9
'08101','08',14,22
'08107','08',0,21
'08123','08',17,18
'09005','09',0,28
'09009','09',8,13
'09011','09',0,28
'10001','10',15,24
'10005','10',34,53
'11001','11',126,77
'12001','12',0,31
'12011','12',46,39
'12031','12',0,31
'12033','12',61,54
'12057','12',37,36
'12061','12',18,28
'12071','12',20,31
'12073','12',0,31
'12085','12',0,31
'12086','12',33,52
'12091','12',157,186
'12095','12',13,19
'12097','12',69,109
'12099','12',80,100
'12103','12',17,27
'12109','12',0,31
'12111','12',0,31
'12113','12',0,31
'12115','12',189,263
'12117','12',0,31
'12127','12',0,31
'13059','13',0,30
'13063','13',7,10
'13067','13',238,218
'13089','13',8,13
'13121','13',45,58
'13135','13',110,117
'13153','13',0,30
'13245','13',0,30
'13269','13',4,8
'13285','13',0,30
'15003','15',69,54
'16001','16',21,33
'16005','16',0,27
'16039','16',0,21
'16045','16',0,18
