county_fips,y1_countyname,returns,exemptions,agi
'31153',Sarpy County,3294,5970,160967
'31109',Lancaster County,907,1393,45083
'19155',Pottawattamie County,717,1238,30370
'31053',Dodge County,275,501,12347
'31177',Washington County,237,407,13470
'31025',Cass County,162,281,8435
'04013',Maricopa County,149,274,8963
'17031',Cook County,129,210,8866
'19153',Polk County,129,203,7179
'31155',Saunders County,122,213,6215
'31079',Hall County,112,178,4809
'06037',Los Angeles County,102,202,4683
'19193',Woodbury County,99,178,4229
'20091',Johnson County,94,191,9587
'31119',Madison County,87,157,4248
'31019',Buffalo County,86,120,3972
'31141',Platte County,78,135,2612
'27053',Hennepin County,75,125,4864
'06073',San Diego County,73,134,3353
'29095',Jackson County,73,124,3968
'48201',Harris County,69,126,5027
'48113',Dallas County,66,115,4422
'08031',Denver County,64,91,3941
'48439',Tarrant County,61,156,3747
'19129',Mills County,58,93,3610
'48453',Travis County,58,94,2289
'31001',Adams County,57,84,3084
'32003',Clark County,57,110,3446
'57005',Foreign - APO/FPO ZIPs,57,123,2789
'46099',Minnehaha County,55,107,3297
'19085',Harrison County,52,87,2701
'31111',Lincoln County,51,100,3628
'08041',El Paso County,50,100,2318
'08005',Arapahoe County,49,91,2019
'06059',Orange County,45,89,4506
'53033',King County,42,75,2286
'29189',St. Louis County,39,75,2356
'48029',Bexar County,35,75,2143
'19103',Johnson County,34,53,3097
'20173',Sedgwick County,34,65,2201
'08059',Jefferson County,33,50,1547
'31047',Dawson County,33,66,853
'31037',Colfax County,32,56,1443
'31039',Cuming County,31,61,1390
'47157',Shelby County,31,59,3165
'06085',Santa Clara County,30,71,6212
'19113',Linn County,30,49,1335
'57001',Foreign - Overseas,29,59,1401
'08069',Larimer County,28,61,1541
'15003',Honolulu County,28,54,1118
'31131',Otoe County,28,47,1152
'06071',San Bernardino County,27,57,1214
'29021',Buchanan County,27,41,1064
'40109',Oklahoma County,27,48,951
'19047',Crawford County,26,54,635
'55079',Milwaukee County,26,51,1759
'12095',Orange County,25,45,859
'27123',Ramsey County,25,52,904
'31043',Dakota County,25,44,886
'31157',Scotts Bluff County,25,36,1467
'49035',Salt Lake County,25,53,1485
'31021',Burt County,24,41,984
'36047',Kings County,24,31,800
'40143',Tulsa County,24,50,1926
'56021',Laramie County,24,45,1298
'06067',Sacramento County,23,41,1764
'08035',Douglas County,23,52,2141
'12057',Hillsborough County,23,42,1121
'29510',St. Louis city,23,40,1015
'31179',Wayne County,23,43,717
'31185',York County,23,34,974
'04019',Pima County,22,43,1346
'08001',Adams County,22,46,1546
'29047',Clay County,22,31,1256
'48085',Collin County,22,42,1505
'19029',Cass County,21,35,641
'20161',Riley County,21,31,1327
'31151',Saline County,21,50,688
'36061',New York County,21,43,2801
'39049',Franklin County,21,45,2036
'48121',Denton County,21,50,1675
'06001',Alameda County,20,42,2812
'19049',Dallas County,20,35,1502
'19165',Shelby County,20,31,960
'19169',Story County,20,33,964
'27037',Dakota County,20,40,1289
